IMDB ID,Title,Popularity Ranking,Episodes,Runtime,Show Type,Country of Origin,Language,Plot unknown. Sequel to the 2019 film 'Knives Out'.,Summary,IMDB Rating,Number of Votes,genres
tt7945720,Dirty John,11,16,44,TV Series,United States of America,English,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,"Debra Newell (Connie Britton) has a seemingly perfect life: she's successful, beautiful and lives in one of California's most desirable coastal cities, Newport Beach. The only thing missing is love. So when she finally meets charming and handsome doctor John Meehan (Eric Bana), she's quickly swept into a whirlwind romance, much to the dismay of her daughters Terra (Julia Garner) and Veronica (Juno Temple). Their fast-tracked relationship creates tension between Debra and the girls, leaving them no choice but to investigate the stranger who has swept their mother off her feet. And with a fraught family history, the backstory of Debra and her mother Arlane (Jean Smart) provides insight into why she may have been so vulnerable to John in the first place. As Debra gets drawn deeper into his lies and sinister game of psychological manipulation, it results in horrific consequences for an entire family. —Bravo",7.2,16578,"Crime,Drama"
tt1520211,The Walking Dead,12,177,44,TV Series,United States of America,English,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive. —jzirkle1",8.2,873752,"Drama,Horror,Thriller"
tt2442560,Peaky Blinders,13,36,60,TV Series,United Kingdom,Italian,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Thomas Shelby and his brothers return to Birmingham after serving in the British Army during WWI. Shelby and the Peaky Blinders, the gang he is leader of, control the city of Birmingham But as Shelby's ambitions extend beyond Birmingham, he plans to build on the business empire he's created, and stop anyone who gets in his way.",8.8,378802,"Crime,Drama"
tt2403776,Shadow and Bone,14,16,\N,TV Series,United States of America,English,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"In a world where dark forces have taken over, a young mapmaker, Alina Starkov, accidentally discovers that she has the power to change the fate of the war. She is the only one who has the power to summon light and this will make her play a key role in this war. —CineMoviez",7.8,51286,"Action,Adventure,Drama"
tt0903747,Breaking Bad,15,62,49,TV Series,United States of America,English,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. Determined to ensure that his family will have a secure future, Walt embarks on a career of drugs and crime. He proves to be remarkably proficient in this new world as he begins manufacturing and selling methamphetamine with one of his former students. The series tracks the impacts of a fatal diagnosis on a regular, hard working man, and explores how a fatal diagnosis affects his morality and transforms him into a major player of the drug trade. —WellardRockard, jackenyon",9.4,1523446,"Crime,Drama,Thriller"
tt6111574,The Woman in the Window,16,,100,Movie,United States of America,English,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.","Living in denial, the depressed, pill-popping child psychologist, Anna Fox, has holed herself up in her eerily vacant, ill-lit Manhattan brownstone apartment for the past ten long months, separated from her husband and their eight-year-old daughter. While unsuccessfully grappling with agoraphobia and intense panic attacks, suddenly, the Russells move in across the street, and brimming with curiosity, Anna decides to distract attention away from her problems by peeking into the lives of the unsuspecting new tenants. Then, one night, tensions flare, a deadly kitchen knife gleams in the dim light, and before long, someone ends up dead. Has troubled Anna, indeed, witnessed a gruesome scene of blood-stained domestic violence or is her wine-addled mind playing cruel tricks on her? —Nick Riganas",5.7,46703,"Crime,Drama,Mystery"
tt14544192,Bo Burnham: Inside,17,,87,TV Special,United States of America,English,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.","A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",8.9,13128,"Comedy,Drama,Music"
tt7979580,The Mitchells vs the Machines,18,,113,Movie,United States of America,English,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","An animated action-comedy about an ordinary family who find themselves in the middle of their biggest family challenge yet...saving the world from the robot apocalypse. No big deal, right? It all starts when creative outsider Katie Mitchell is accepted into the film school of her dreams and is eager to leave home and find ""her people,"" when her nature-loving dad insists on having the whole family drive her to school and bond during one last totally-not-awkward-or-forced road trip. But just when the trip can't get any worse, the family suddenly finds itself in the middle of the robot uprising. Everything from smart phones, to roombas, to evil Furbys are employed to capture every human on the planet. Now it's up to the Mitchells, including upbeat mom Linda, quirky little brother Aaron, their squishy pug, Monchi, and two friendly, but simple-minded robots to save humanity. —Netflix",7.8,55762,"Adventure,Animation,Comedy"
tt7084386,Blue Miracle,19,,95,Movie,United States of America,English,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",6.7,2962,"Adventure,Biography,Drama"
tt9561862,"Love, Death & Robots",20,26,15,TV Series,United States of America,English,"A collection of animated Short stories that span various genres including science fiction, fantasy, horror and comedy.","Love, Death + Robots is a 5-time Emmy winning animation anthology series produced by Blur Studio. Launched in March of 2019 on Netflix, Love, Death + Robots delivers a variety of style and story unlike anything else, spanning the genres of science fiction, fantasy, comedy, horror, and more. Created by Tim Miller with David Fincher as executive producer, the series brings together a global team of directors and animation studios to push and expand the medium. Eighteen Shorts in all, Love, Death + Robots has something for everyone.",8.5,115604,"Animation,Comedy,Fantasy"
tt0364845,NCIS: Naval Criminal Investigative Service,21,415,60,TV Series,United States of America,English,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Special Agent Leroy Jethro Gibbs is the leader of a team of special agents belonging to the NCIS (Naval Criminal Investigative Service) Major Case Response Team. Gibbs, a former Marine, is a tough investigator and a highly skilled interrogator who relies on his gut instinct as much as evidence. Gibbs' second in command is Senior Field Agent Tony DiNozzo, a womanizing, Movie-quoting former Baltimore Homicide Detective, who despite being the class clown always gets the job done. The team also consists of probationary field agent Eleanor Bishop, a former NSA agent, as well as Junior Field Agent Timothy McGee, a computer-savvy agent often mocked by DiNozzo. Assisting them are Abby Sciuto, the energetic-but-Goth lab tech who is like a daughter to Gibbs, and Dr. Donald Mallard, nicknamed Ducky, the eccentric medical examiner full of unusual stories. This team of elite agents, based in Washington, D.C., solve criminal cases involving Marine and Navy personnel and their families, sometimes traveling the United States of America - or the world - to do it. —NCIS Lover",7.7,123320,"Action,Crime,Drama"
tt6772524,Trouble,22,,87,Movie,Canada,English,"A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children.","A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children.",5.9,2131,"Adventure,Animation,Comedy"
tt4574334,Stranger Things,23,34,51,TV Series,United States of America,English,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye. —Charles J.",8.7,862255,"Drama,Fantasy,Horror"
tt2306299,Vikings,24,93,44,TV Series,Ireland,French,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors. —History Channel",8.5,450816,"Action,Adventure,Drama"
tt2303687,Line of Duty,25,36,60,TV Series,United Kingdom,English,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Line of Duty follows Detective Seargent Steven ""Steve"" Arnott (Martin Compston), a former authorized firearms officer who led an operation to catch an Islamic terrorist intending to detonate a bomb, but the strike team mistakenly entered the wrong apartment and shot dead an unarmed innocent man. In the subsequent investigation, Arnott refused to cover up negligence in the planning and execution of the raid and unable to work in his unit anymore, Arnott receives a transfer to AC-12, a unit tasked with uncovering police corruption. Arnott is partnered with Detective Constable Kathrine ""Kate"" Fleming (Vicky McClure), a highly commended undercover officer with a keen investigative instinct. They work under the supervision of Superintendent Edward ""Ted"" Hastings (Adrian Dunbar), who is one of several Senior Investigating Officers responsible for uncovering corruption within the police force. Throughout the series, AC-12 investigate seemingly disparate cases involving seemingly corrupt police officers, with each series focusing on a different corrupt officer and AC-12 soon realize the pervasive nature of corruption and the police's deep-rooted links to an organized crime group with ties to drug running, prostitution, child exploitation and people trafficking. —World Productions",8.7,43919,"Crime,Drama,Mystery"
tt6468322,La casa de papel,26,41,70,TV Series,Spain,Spanish,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,8.3,329651,"Action,Crime,Mystery"
tt3107288,The Flash,27,165,43,TV Series,United States of America,English,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Barry Allen is a Central City police forensic scientist with a reasonably happy life, despite the childhood trauma of a mysterious red and yellow lightning killing his mother and framing his father. All that changes when a massive particle accelerator accident leads to Barry being struck by lightning in his lab. Coming out of coma nine months later, Barry and his new friends at S.T.A.R labs find that he now has the ability to move at superhuman speed. Furthermore, Barry learns that he is but one of many affected by that event, most of whom are using their powers for evil. Determined to make a difference, Barry dedicates his life to fighting such threats, as The Flash. While he gains allies he never expected, there are also secret forces determined to aid and manipulate him for their own agenda. —Kenneth Chisholm (kchishol@rogers.com)",7.7,314053,"Action,Adventure,Drama"
tt3006802,Outlander,28,87,64,TV Series,United States of America,English,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world in which her life is threatened. When she is forced to marry Jamie Fraser, a chivalrous and romantic young Scottish warrior, a passionate relationship is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives. —Starz",8.4,132355,"Drama,Fantasy,Romance"
tt0460681,Supernatural,29,327,44,TV Series,United States of America,English,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","This television drama is about the two Winchester brothers, Sam and Dean, who were raised by their father, John, to hunt and kill all things that go ""bump in the night"" after his wife, Mary, was murdered by an evil supernatural being when the boys were young. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently missing father who, when they finally meet up with, reveals he knows what killed their mother, a demon and has found a way to track and kill it. Meanwhile, Sam starts to develop frightening abilities that include death visions, visions of people dying before it actually happens. These visions are somehow connected to the demon who murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with the very same devil that had killed his wife, the brothers, now alone and without their mentor, are determined to finish the crusade their father started. But disturbing revelations about Sam's part in the demon's apocalyptic plans are presented when John's dying last words to Dean are revealed. —Rachel B.",8.4,399487,"Drama,Fantasy,Horror"
tt4635276,Master of None,30,25,30,TV Series,United States of America,English,"The personal and professional life of Dev, a 30-year-old actor in New York.","Dev is a 30 year-old actor, living in New York City. His life goes by in a humorous, yet meaningful sequence of events. Everything he does is usually related to hanging out with his three friends, finding a relationship, or getting ahead in his career.",8.3,69338,"Comedy,Drama"
tt0773262,Dexter,31,106,53,TV Series,United States of America,English,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Dexter Morgan, Miami Metro Police Department blood spatter analyst, has a double life. When he's not helping the Homicide division solving murders, he spends his time hunting and killing bad guys that slip through the justice system. He spends his sun-drenched days solving crimes - and moonlit nights committing them. But not to worry, our Dexter doesn't kill just anyone. He reserves his homicidal hobbies to taking only the lives of other killers. —ahmetkozan",8.6,657797,"Crime,Drama,Mystery"
tt1442437,Modern Family,32,250,22,TV Series,United States of America,English,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family. —Jwelch5742",8.4,370388,"Comedy,Drama,Romance"
tt3526078,Schitt's Creek,33,80,22,TV Series,Canada,English,"When rich Video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","When filthy-rich Video store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup and rebuild their empire from within the rural city limits of their only remaining asset - Schitt's Creek, an armpit of a town they once bought as a joke. —CBC",8.5,84154,Comedy
tt2560140,Shingeki no kyojin,34,86,24,TV Series,Japan,Japanese,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Humans are nearly exterminated by giant creatures called Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.",9,233131,"Action,Adventure,Animation"
tt9569546,Halston,35,5,240,TV Mini Series,United States of America,English,"The story of a man who leverages his single, invented name into a worldwide fashion empire that's synonymous with luxury, sex, status and fame, literally defining the era.","The story of a man who leverages his single, invented name into a worldwide fashion empire that's synonymous with luxury, sex, status and fame, literally defining the era.",7.5,7747,"Biography,Drama"
tt2467372,Brooklyn Nine-Nine,36,153,22,TV Series,United States of America,English,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Captain Ray Holt takes over Brooklyn's 99th precinct, which includes Detective Jake Peralta, a talented but carefree detective who's used to doing whatever he wants. The other employees of the 99th precinct include Detective Amy Santiago, Jake's over achieving and competitive partner; Detective Rosa Diaz, a tough and kept to herself coworker; Detective Charles Boyle, Jake's best friend who also has crush on Rosa; Detective Sergeant Terry Jeffords, who was recently taken off the field after the birth of his twin girls; and Gina Linetti, the precinct's sarcastic administrator.",8.4,241662,"Comedy,Crime"
tt2802850,Fargo,37,41,53,TV Series,United States of America,English,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","The all new ""true crime"" case of Fargo's new chapter travels back to 1979 in Sioux Falls, South Dakota and Luverne, Minnesota, where a young State Police Officer Lou Solverson, recently back from Vietnam, investigates a case involving a local crime gang and a major Mob syndicate. Helping him piece things together is his father-in-law, Sheriff Hank Larsson. The investigation will lead them to a colorful cast of characters that includes Karl Weathers, the town lawyer of Luverne, Minnesota. A Korean War vet, Karl is a flowery drunk blessed with the gift of gab and the eloquence of a true con artist. Joe Bulo, the front man for the northern expansion of a Kansas City crime syndicate. The new face of corporate crime, Joe's bringing a Walmart mentality to small town America. His number two is Mike Milligan. Part enforcer, part detective, Mike is always smiling - but the joke is usually on you. Bulo and his crew have their sights set on the Gerhardt crime family in Fargo, currently led by matriarch Floyd Gerhardt. With her husband at death's door, Floyd takes over the family business, frustrating her eldest son, Dodd Gerhardt. An impatient hothead with a cruel streak to match his ambitions, Dodd can't wait for both his parents to die so he can take over and expand their business from kingdom to empire. Bear Gerhardt is the middle son, an intimidatingly large man who, although inarticulate, is the most decent of his clan. Rye Gerhardt, the youngest of the Gerhardt clan, views himself as a big shot, but in reality he's just a small dog who barks big. —FX Networks",8.9,336879,"Crime,Drama,Thriller"
tt10886166,365 dni,38,,114,Movie,Poland,Polish,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love ... Read all","Massimo Torricelli, a young and handsome boss of a Sicilian Mafia family, has no other option but to take over after his father has been assassinated. Laura is a sales director in a luxurious hotel in Warsaw. She has a successful career, but her private life lacks passion. She is taking one last shot to save her relationship. Together with her bone-headed boyfriend, Martin and some other friends, she takes a trip to Sicily. She does not expect that Massimo, the most dangerous man on the island, will get in her way, kidnap her, hold her captive and give her 365 days - to fall in love with him. —Netflix",3.3,60267,"Drama,Romance"
tt0115433,101 Dalmatians,39,,103,Movie,United States of America,English,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.","After a wild chase in the bustling streets of London, struggling computer game author Roger (Jeff Daniels) and his male Dalmatian, Pongo - by a welcome twist of fate - are dragged into St. James Park and meet with charming fashion designer Anita (Joely Richardson) and her female Dalmatian, Perdita. Soon, one thing will lead to another, and before they know it, Roger and Anita will get married and the adorable Perdita, pregnant. However, their Short-lived joy is disrupted when Anita's glamorous but horrible boss, Cruella DeVil (Glenn Close), dognaps the innocent puppies with the intention of making a luxurious coat with the dogs' fabulously spotted fur. Eventually, along with Perdita's fifteen puppies, Cruella will manage to bring the total to the staggering number of ninety-nine Dalmatians; nevertheless, are the cute little puppies as helpless as they look? —Nick Riganas",5.7,103845,"Adventure,Comedy,Crime"
tt11937816,¿Quién Mató a Sara?,40,18,\N,TV Series,Mexico,Spanish,"Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.","Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.",6.5,9203,"Crime,Drama,Mystery"
tt3032476,Better Call Saul,41,63,46,TV Series,United States of America,English,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman. —zaahir1604",8.7,340404,"Crime,Drama"
tt7817340,New Amsterdam,42,56,43,TV Series,United States of America,English,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"Dr. Max Goodwin is brilliant, charming -- and the new medical director at America's oldest public hospital. While he's set on tearing down the bureaucracy to provide exceptional care, the doctors and staff are not so sure. They've heard this before, and no one else has delivered on those promises. Not taking ""no"" for an answer, Max disrupts the status quo and proves he will stop at nothing to breathe new life into this understaffed, underfunded and underappreciated hospital -- the only one in the world capable of treating Ebola patients, prisoners from Rikers Island and the president of the United States of America all under one roof -- and return it to the glory that put it on the map. Inspired by Bellevue in New York City. —NBC",8.1,25793,Drama
tt4786824,The Crown,43,60,58,TV Series,United Kingdom,English,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"This show focuses on Queen Elizabeth II as a young newlywed faced with leading the world's most famous monarchy, while forging a relationship with legendary Prime Minister Sir Winston Churchill. The British Empire is in decline, the political world is in disarray, but a new era is dawning. Peter Morgan's masterfully researched scripts reveal the Queen's private journey behind the public façade with daring frankness. Prepare to see into the coveted world of power and privilege behind the locked doors of Westminster and Buckingham Palace. —Netflix",8.6,165745,"Biography,Drama,History"
tt6517102,Castlevania,44,32,23,TV Series,United States of America,English,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"When Lisa Tepes, beloved wife of Vlad Tepes AKA Dracula is acused of witchcraft and burned at the stake by an overzealous bishop, Dracula declares war on the people of Wallachia and unleashes an army of murderous demonic creatures from hell. Luckily, Trevor Belmont, last survivor of the Belmont clan, a disgraced family known for hunting all kinds of monsters, is still in town and agrees to take the fight to the lord of vampires. —Ricky Lyon",8.3,48274,"Action,Adventure,Animation"
tt2085059,Black Mirror,45,22,60,TV Series,United Kingdom,English,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Set in a world only minutes from our own, ""Black Mirror"" unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies.",8.8,461766,"Drama,Sci-Fi,Thriller"
tt1844624,American Horror Story,46,116,60,TV Series,United States of America,English,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apoc... Read all","Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation.",8,282297,"Drama,Horror,Thriller"
tt2661044,The 100,47,100,43,TV Series,United States of America,English,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the plane... Read all","The series is set 97 years after a devastating nuclear war wiped out almost all life on Earth. The only known survivors are the residents of twelve space stations in Earth's orbit prior to the war. The space stations banded together to form a single massive station named ""The Ark"", wenis galore about 2,400 people live. Resources are scarce and all crimes no matter their nature or severity are punishable by death (""floating"") unless the perpetrator is under 18 years of age. After the Ark's life support systems are found to be critically failing, one hundred juvenile prisoners are declared ""expendable"" and sent to the surface in a last ditch attempt to determine if Earth is habitable again. The teens arrive on a beautiful planet they have only seen from space. Confronting the dangers of this rugged new world, they struggle to form a tentative community. However they discover that not all humanity was wiped out. There are people on Earth who survived the war, called ""grounders"" by the 100. The Ark consists of the space stations previously representing the nations of the UK, USA, Australia, Canada, China, Japan, India, Russia, Venezuela, France, Brazil, and Uganda. —Thomas O'Darren",7.6,223726,"Drama,Mystery,Sci-Fi"
